 time, stf, M0, fz, dt_dxyz
       0.14000000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.14100001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.14200001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.14300001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.14400001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.14500000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.14600000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.14700001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.14800001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.14900001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.15000001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.15100000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.15200000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.15300000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.15400001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.15500000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.15600001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.15700001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.15800000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.15900001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.16000000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.16100001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.16200000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.16300000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.16400001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.16500000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.16600001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.16700000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.16800001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.16900001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.17000000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.17100001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.17200000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.17300001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.17400000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.17500000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.17600001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.17700000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.17800001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.17900000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.18000001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.18100001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.18200000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
