 x, y, z, ix, iy, iz
      -0.98999997E-04,      0.98999997E-04,     -0.99999977E-06,      51,      55,       5
      -0.96999996E-04,      0.98999997E-04,     -0.99999977E-06,      52,      55,       5
      -0.94999996E-04,      0.98999997E-04,     -0.99999977E-06,      53,      55,       5
      -0.92999995E-04,      0.98999997E-04,     -0.99999977E-06,      54,      55,       5
      -0.90999994E-04,      0.98999997E-04,     -0.99999977E-06,      55,      55,       5
      -0.88999994E-04,      0.98999997E-04,     -0.99999977E-06,      56,      55,       5
      -0.86999993E-04,      0.98999997E-04,     -0.99999977E-06,      57,      55,       5
      -0.84999992E-04,      0.98999997E-04,     -0.99999977E-06,      58,      55,       5
      -0.82999992E-04,      0.98999997E-04,     -0.99999977E-06,      59,      55,       5
      -0.80999998E-04,      0.98999997E-04,     -0.99999977E-06,      60,      55,       5
      -0.78999998E-04,      0.98999997E-04,     -0.99999977E-06,      61,      55,       5
      -0.76999997E-04,      0.98999997E-04,     -0.99999977E-06,      62,      55,       5
      -0.74999996E-04,      0.98999997E-04,     -0.99999977E-06,      63,      55,       5
      -0.72999996E-04,      0.98999997E-04,     -0.99999977E-06,      64,      55,       5
      -0.70999995E-04,      0.98999997E-04,     -0.99999977E-06,      65,      55,       5
      -0.68999994E-04,      0.98999997E-04,     -0.99999977E-06,      66,      55,       5
      -0.66999994E-04,      0.98999997E-04,     -0.99999977E-06,      67,      55,       5
      -0.64999993E-04,      0.98999997E-04,     -0.99999977E-06,      68,      55,       5
      -0.62999992E-04,      0.98999997E-04,     -0.99999977E-06,      69,      55,       5
      -0.60999995E-04,      0.98999997E-04,     -0.99999977E-06,      70,      55,       5
      -0.58999995E-04,      0.98999997E-04,     -0.99999977E-06,      71,      55,       5
      -0.56999994E-04,      0.98999997E-04,     -0.99999977E-06,      72,      55,       5
      -0.54999997E-04,      0.98999997E-04,     -0.99999977E-06,      73,      55,       5
      -0.52999996E-04,      0.98999997E-04,     -0.99999977E-06,      74,      55,       5
      -0.50999995E-04,      0.98999997E-04,     -0.99999977E-06,      75,      55,       5
      -0.48999995E-04,      0.98999997E-04,     -0.99999977E-06,      76,      55,       5
      -0.46999994E-04,      0.98999997E-04,     -0.99999977E-06,      77,      55,       5
      -0.44999997E-04,      0.98999997E-04,     -0.99999977E-06,      78,      55,       5
      -0.42999996E-04,      0.98999997E-04,     -0.99999977E-06,      79,      55,       5
      -0.40999996E-04,      0.98999997E-04,     -0.99999977E-06,      80,      55,       5
      -0.38999995E-04,      0.98999997E-04,     -0.99999977E-06,      81,      55,       5
